"","ABHD5.cn","ADH1A.cn","ADH1B.cn","ADH4.cn","ADH7.cn","AGXT2L1.cn","ALPK1.cn","ALYREF.cn","ANK2.cn","ANO9.cn","ARFGAP1.cn","ARHGAP24.cn","ARHGEF38-IT1.cn","AS3MT.cn","BAG6.cn","BRP44.cn","C14orf101.cn","C15orf23.cn","C17orf53.cn","C20orf112.cn","C4orf17.cn","C4orf32.cn","CALCA.cn","CCDC56.cn","CCDC57.cn","CDX2.cn","CENPM.cn","COL25A1.cn","CUTC.cn","CYP2D7P1.cn","DIDO1.cn","DSCR6.cn","DTNBP1.cn","ENGASE.cn","ENPEP.cn","FAM64A.cn","FGG.cn","FLNC.cn","GIMD1.cn","H2AFZ.cn","HDAC10.cn","IKBKB.cn","KAT2A.cn","KAT7.cn","KCNAB2.cn","KIF17.cn","LEF1-AS1.cn","LOC100131089.cn","LOC100507053.cn","LPIN3.cn","LRIT3.cn","MFAP1.cn","MIR1243.cn","MIR302A.cn","MIR302B.cn","MIR302C.cn","MIR302D.cn","MIR367.cn","MIR3684.cn","MLLT6.cn","NBR2.cn","NCAPH2.cn","NUSAP1.cn","PABPC1L.cn","PCNAP1.cn","PGS1.cn","PPA2.cn","R3HCC1.cn","RARB.cn","RHOH.cn","RPL34-AS1.cn","RRH.cn","RTN4IP1.cn","SEC24B-AS1.cn","SGMS2.cn","SLC25A27.cn","SNCA.cn","SPC24.cn","SPRR1A.cn","TARBP1.cn","TK1.cn","TMEM63A.cn","TRMT10A.cn","UBL7.cn","VEGFC.cn","WDR27.cn","ZBTB47.cn","ZFP3.cn","ZGPAT.cn","ZSWIM4.cn","ABHD5.rna","ALPK1.rna","ALYREF.rna","ANK2.rna","ANO9.rna","ARFGAP1.rna","ARHGAP24.rna","AS3MT.rna","ATP5G1.rna","BAG6.rna","BRP44.rna","C10orf26.rna","C14orf101.rna","C15orf23.rna","C17orf53.rna","C20orf112.rna","C4orf32.rna","CALCA.rna","CCDC56.rna","CCDC57.rna","CDX2.rna","CENPM.rna","CUTC.rna","CYP2D7P1.rna","DIDO1.rna","DSCR6.rna","DTNBP1.rna","EHD3.rna","ENGASE.rna","FAM64A.rna","FGG.rna","FLNC.rna","GINS2.rna","H2AFZ.rna","HDAC10.rna","IKBKB.rna","ITGB1BP1.rna","KAT2A.rna","KAT7.rna","KCNAB2.rna","KIF17.rna","LOC100131089.rna","LPIN3.rna","MFAP1.rna","MLLT6.rna","NBR2.rna","NCAPH2.rna","NUSAP1.rna","PABPC1L.rna","PAIP2.rna","PGPEP1.rna","PGS1.rna","PPA2.rna","R3HCC1.rna","RAB38.rna","RARB.rna","RHOH.rna","RTN4IP1.rna","SGMS2.rna","SLC25A27.rna","SNCA.rna","SPC24.rna","SPRR1A.rna","STK36.rna","TARBP1.rna","TK1.rna","TMEM63A.rna","UBL7.rna","VEGFC.rna","WDR27.rna","ZBTB47.rna","ZC3H18.rna","ZFP3.rna","ZGPAT.rna","ZSWIM4.rna","DIDO1.mut"
"45",1.95,1.97,1.97,1.97,1.97,1.95,1.95,2.01,1.95,2.03,2.07,1.92,1.95,2.03,1.92,1.96,1.95,1.92,1.99,2,1.97,1.95,1.96,1.99,2.01,1.93,1.95,1.95,1.95,1.95,2.07,1.97,1.91,2.01,1.95,2.03,1.97,1.97,1.95,1.97,2.19,2.01,1.99,1.95,2.06,2,1.95,1.92,1.97,2,1.95,1.92,1.95,1.95,1.95,1.95,1.95,1.95,1.97,1.93,1.99,2.19,1.92,2,1.97,2.01,1.95,2.04,2.04,2.03,1.95,1.95,1.97,1.95,1.95,1.97,1.91,2.06,1.99,1.99,2.01,1.99,1.97,1.96,2.03,2.07,1.95,2.03,2.07,2.06,3.01,2.02,173.16,0.04,15.09,36.72,0.41,0,509.65,62.45,89.3,7.71,2.88,20.04,2.71,4.28,0.55,0,236.83,13.74,52.79,52.45,12.43,1.6,8.31,0.24,20.83,0.05,5.4,24.37,0.01,5.56,50.31,731.57,10.82,6.38,27.75,18.55,8.4,14.15,0.09,2.02,5.02,19.06,22.2,2.73,38.47,39.47,2.39,52.58,8.68,7.11,52.99,44.85,0.03,0.06,0.03,7.12,5.41,0.63,0.1,10.76,0,2.1,4.82,113.86,15.14,36.47,0,3.09,1.98,18.79,2.33,12.75,1.85,0
"46",1.95,1.97,1.97,1.97,1.97,1.95,1.95,2.01,1.95,2.03,2.07,1.92,1.95,2.03,1.92,1.96,1.95,1.92,1.99,2,1.97,1.95,1.96,1.99,2.01,1.93,1.95,1.95,1.95,1.95,2.07,1.97,1.91,2.01,1.95,2.03,1.97,1.97,1.95,1.97,2.19,2.01,1.99,1.95,2.06,2,1.95,1.92,1.97,2,1.95,1.92,1.95,1.95,1.95,1.95,1.95,1.95,1.97,1.93,1.99,2.19,1.92,2,1.97,2.01,1.95,2.04,2.04,2.03,1.95,1.95,1.97,1.95,1.95,1.97,1.91,2.06,1.99,1.99,2.01,1.99,1.97,1.96,2.03,2.07,1.95,2.03,2.07,2.06,3.01,2.02,173.16,0.04,15.09,36.72,0.41,0,509.65,62.45,89.3,7.71,2.88,20.04,2.71,4.28,0.55,0,236.83,13.74,52.79,52.45,12.43,1.6,8.31,0.24,20.83,0.05,5.4,24.37,0.01,5.56,50.31,731.57,10.82,6.38,27.75,18.55,8.4,14.15,0.09,2.02,5.02,19.06,22.2,2.73,38.47,39.47,2.39,52.58,8.68,7.11,52.99,44.85,0.03,0.06,0.03,7.12,5.41,0.63,0.1,10.76,0,2.1,4.82,113.86,15.14,36.47,0,3.09,1.98,18.79,2.33,12.75,1.85,0
"47",1.95,1.97,1.97,1.97,1.97,1.95,1.95,2.01,1.95,2.03,2.07,1.92,1.95,2.03,1.92,1.96,1.95,1.92,1.99,2,1.97,1.95,1.96,1.99,2.01,1.93,1.95,1.95,1.95,1.95,2.07,1.97,1.91,2.01,1.95,2.03,1.97,1.97,1.95,1.97,2.19,2.01,1.99,1.95,2.06,2,1.95,1.92,1.97,2,1.95,1.92,1.95,1.95,1.95,1.95,1.95,1.95,1.97,1.93,1.99,2.19,1.92,2,1.97,2.01,1.95,2.04,2.04,2.03,1.95,1.95,1.97,1.95,1.95,1.97,1.91,2.06,1.99,1.99,2.01,1.99,1.97,1.96,2.03,2.07,1.95,2.03,2.07,2.06,3.01,2.02,173.16,0.04,15.09,36.72,0.41,0,509.65,62.45,89.3,7.71,2.88,20.04,2.71,4.28,0.55,0,236.83,13.74,52.79,52.45,12.43,1.6,8.31,0.24,20.83,0.05,5.4,24.37,0.01,5.56,50.31,731.57,10.82,6.38,27.75,18.55,8.4,14.15,0.09,2.02,5.02,19.06,22.2,2.73,38.47,39.47,2.39,52.58,8.68,7.11,52.99,44.85,0.03,0.06,0.03,7.12,5.41,0.63,0.1,10.76,0,2.1,4.82,113.86,15.14,36.47,0,3.09,1.98,18.79,2.33,12.75,1.85,0
"48",1.95,1.97,1.97,1.97,1.97,1.95,1.95,2.01,1.95,2.03,2.07,1.92,1.95,2.03,1.92,1.96,1.95,1.92,1.99,2,1.97,1.95,1.96,1.99,2.01,1.93,1.95,1.95,1.95,1.95,2.07,1.97,1.91,2.01,1.95,2.03,1.97,1.97,1.95,1.97,2.19,2.01,1.99,1.95,2.06,2,1.95,1.92,1.97,2,1.95,1.92,1.95,1.95,1.95,1.95,1.95,1.95,1.97,1.93,1.99,2.19,1.92,2,1.97,2.01,1.95,2.04,2.04,2.03,1.95,1.95,1.97,1.95,1.95,1.97,1.91,2.06,1.99,1.99,2.01,1.99,1.97,1.96,2.03,2.07,1.95,2.03,2.07,2.06,3.01,2.02,173.16,0.04,15.09,36.72,0.41,0,509.65,62.45,89.3,7.71,2.88,20.04,2.71,4.28,0.55,0,236.83,13.74,52.79,52.45,12.43,1.6,8.31,0.24,20.83,0.05,5.4,24.37,0.01,5.56,50.31,731.57,10.82,6.38,27.75,18.55,8.4,14.15,0.09,2.02,5.02,19.06,22.2,2.73,38.47,39.47,2.39,52.58,8.68,7.11,52.99,44.85,0.03,0.06,0.03,7.12,5.41,0.63,0.1,10.76,0,2.1,4.82,113.86,15.14,36.47,0,3.09,1.98,18.79,2.33,12.75,1.85,0
"49",1.95,1.97,1.97,1.97,1.97,1.95,1.95,2.01,1.95,2.03,2.07,1.92,1.95,2.03,1.92,1.96,1.95,1.92,1.99,2,1.97,1.95,1.96,1.99,2.01,1.93,1.95,1.95,1.95,1.95,2.07,1.97,1.91,2.01,1.95,2.03,1.97,1.97,1.95,1.97,2.19,2.01,1.99,1.95,2.06,2,1.95,1.92,1.97,2,1.95,1.92,1.95,1.95,1.95,1.95,1.95,1.95,1.97,1.93,1.99,2.19,1.92,2,1.97,2.01,1.95,2.04,2.04,2.03,1.95,1.95,1.97,1.95,1.95,1.97,1.91,2.06,1.99,1.99,2.01,1.99,1.97,1.96,2.03,2.07,1.95,2.03,2.07,2.06,3.01,2.02,173.16,0.04,15.09,36.72,0.41,0,509.65,62.45,89.3,7.71,2.88,20.04,2.71,4.28,0.55,0,236.83,13.74,52.79,52.45,12.43,1.6,8.31,0.24,20.83,0.05,5.4,24.37,0.01,5.56,50.31,731.57,10.82,6.38,27.75,18.55,8.4,14.15,0.09,2.02,5.02,19.06,22.2,2.73,38.47,39.47,2.39,52.58,8.68,7.11,52.99,44.85,0.03,0.06,0.03,7.12,5.41,0.63,0.1,10.76,0,2.1,4.82,113.86,15.14,36.47,0,3.09,1.98,18.79,2.33,12.75,1.85,0
"50",1.95,1.97,1.97,1.97,1.97,1.95,1.95,2.01,1.95,2.03,2.07,1.92,1.95,2.03,1.92,1.96,1.95,1.92,1.99,2,1.97,1.95,1.96,1.99,2.01,1.93,1.95,1.95,1.95,1.95,2.07,1.97,1.91,2.01,1.95,2.03,1.97,1.97,1.95,1.97,2.19,2.01,1.99,1.95,2.06,2,1.95,1.92,1.97,2,1.95,1.92,1.95,1.95,1.95,1.95,1.95,1.95,1.97,1.93,1.99,2.19,1.92,2,1.97,2.01,1.95,2.04,2.04,2.03,1.95,1.95,1.97,1.95,1.95,1.97,1.91,2.06,1.99,1.99,2.01,1.99,1.97,1.96,2.03,2.07,1.95,2.03,2.07,2.06,3.01,2.02,173.16,0.04,15.09,36.72,0.41,0,509.65,62.45,89.3,7.71,2.88,20.04,2.71,4.28,0.55,0,236.83,13.74,52.79,52.45,12.43,1.6,8.31,0.24,20.83,0.05,5.4,24.37,0.01,5.56,50.31,731.57,10.82,6.38,27.75,18.55,8.4,14.15,0.09,2.02,5.02,19.06,22.2,2.73,38.47,39.47,2.39,52.58,8.68,7.11,52.99,44.85,0.03,0.06,0.03,7.12,5.41,0.63,0.1,10.76,0,2.1,4.82,113.86,15.14,36.47,0,3.09,1.98,18.79,2.33,12.75,1.85,0
"51",1.95,1.97,1.97,1.97,1.97,1.95,1.95,2.01,1.95,2.03,2.07,1.92,1.95,2.03,1.92,1.96,1.95,1.92,1.99,2,1.97,1.95,1.96,1.99,2.01,1.93,1.95,1.95,1.95,1.95,2.07,1.97,1.91,2.01,1.95,2.03,1.97,1.97,1.95,1.97,2.19,2.01,1.99,1.95,2.06,2,1.95,1.92,1.97,2,1.95,1.92,1.95,1.95,1.95,1.95,1.95,1.95,1.97,1.93,1.99,2.19,1.92,2,1.97,2.01,1.95,2.04,2.04,2.03,1.95,1.95,1.97,1.95,1.95,1.97,1.91,2.06,1.99,1.99,2.01,1.99,1.97,1.96,2.03,2.07,1.95,2.03,2.07,2.06,3.01,2.02,173.16,0.04,15.09,36.72,0.41,0,509.65,62.45,89.3,7.71,2.88,20.04,2.71,4.28,0.55,0,236.83,13.74,52.79,52.45,12.43,1.6,8.31,0.24,20.83,0.05,5.4,24.37,0.01,5.56,50.31,731.57,10.82,6.38,27.75,18.55,8.4,14.15,0.09,2.02,5.02,19.06,22.2,2.73,38.47,39.47,2.39,52.58,8.68,7.11,52.99,44.85,0.03,0.06,0.03,7.12,5.41,0.63,0.1,10.76,0,2.1,4.82,113.86,15.14,36.47,0,3.09,1.98,18.79,2.33,12.75,1.85,0
"52",1.95,1.97,1.97,1.97,1.97,1.95,1.95,2.01,1.95,2.03,2.07,1.92,1.95,2.03,1.92,1.96,1.95,1.92,1.99,2,1.97,1.95,1.96,1.99,2.01,1.93,1.95,1.95,1.95,1.95,2.07,1.97,1.91,2.01,1.95,2.03,1.97,1.97,1.95,1.97,2.19,2.01,1.99,1.95,2.06,2,1.95,1.92,1.97,2,1.95,1.92,1.95,1.95,1.95,1.95,1.95,1.95,1.97,1.93,1.99,2.19,1.92,2,1.97,2.01,1.95,2.04,2.04,2.03,1.95,1.95,1.97,1.95,1.95,1.97,1.91,2.06,1.99,1.99,2.01,1.99,1.97,1.96,2.03,2.07,1.95,2.03,2.07,2.06,3.01,2.02,173.16,0.04,15.09,36.72,0.41,0,509.65,62.45,89.3,7.71,2.88,20.04,2.71,4.28,0.55,0,236.83,13.74,52.79,52.45,12.43,1.6,8.31,0.24,20.83,0.05,5.4,24.37,0.01,5.56,50.31,731.57,10.82,6.38,27.75,18.55,8.4,14.15,0.09,2.02,5.02,19.06,22.2,2.73,38.47,39.47,2.39,52.58,8.68,7.11,52.99,44.85,0.03,0.06,0.03,7.12,5.41,0.63,0.1,10.76,0,2.1,4.82,113.86,15.14,36.47,0,3.09,1.98,18.79,2.33,12.75,1.85,0
"53",1.95,1.97,1.97,1.97,1.97,1.95,1.95,2.01,1.95,2.03,2.07,1.92,1.95,2.03,1.92,1.96,1.95,1.92,1.99,2,1.97,1.95,1.96,1.99,2.01,1.93,1.95,1.95,1.95,1.95,2.07,1.97,1.91,2.01,1.95,2.03,1.97,1.97,1.95,1.97,2.19,2.01,1.99,1.95,2.06,2,1.95,1.92,1.97,2,1.95,1.92,1.95,1.95,1.95,1.95,1.95,1.95,1.97,1.93,1.99,2.19,1.92,2,1.97,2.01,1.95,2.04,2.04,2.03,1.95,1.95,1.97,1.95,1.95,1.97,1.91,2.06,1.99,1.99,2.01,1.99,1.97,1.96,2.03,2.07,1.95,2.03,2.07,2.06,3.01,2.02,173.16,0.04,15.09,36.72,0.41,0,509.65,62.45,89.3,7.71,2.88,20.04,2.71,4.28,0.55,0,236.83,13.74,52.79,52.45,12.43,1.6,8.31,0.24,20.83,0.05,5.4,24.37,0.01,5.56,50.31,731.57,10.82,6.38,27.75,18.55,8.4,14.15,0.09,2.02,5.02,19.06,22.2,2.73,38.47,39.47,2.39,52.58,8.68,7.11,52.99,44.85,0.03,0.06,0.03,7.12,5.41,0.63,0.1,10.76,0,2.1,4.82,113.86,15.14,36.47,0,3.09,1.98,18.79,2.33,12.75,1.85,0
"54",1.95,1.97,1.97,1.97,1.97,1.95,1.95,2.01,1.95,2.03,2.07,1.92,1.95,2.03,1.92,1.96,1.95,1.92,1.99,2,1.97,1.95,1.96,1.99,2.01,1.93,1.95,1.95,1.95,1.95,2.07,1.97,1.91,2.01,1.95,2.03,1.97,1.97,1.95,1.97,2.19,2.01,1.99,1.95,2.06,2,1.95,1.92,1.97,2,1.95,1.92,1.95,1.95,1.95,1.95,1.95,1.95,1.97,1.93,1.99,2.19,1.92,2,1.97,2.01,1.95,2.04,2.04,2.03,1.95,1.95,1.97,1.95,1.95,1.97,1.91,2.06,1.99,1.99,2.01,1.99,1.97,1.96,2.03,2.07,1.95,2.03,2.07,2.06,3.01,2.02,173.16,0.04,15.09,36.72,0.41,0,509.65,62.45,89.3,7.71,2.88,20.04,2.71,4.28,0.55,0,236.83,13.74,52.79,52.45,12.43,1.6,8.31,0.24,20.83,0.05,5.4,24.37,0.01,5.56,50.31,731.57,10.82,6.38,27.75,18.55,8.4,14.15,0.09,2.02,5.02,19.06,22.2,2.73,38.47,39.47,2.39,52.58,8.68,7.11,52.99,44.85,0.03,0.06,0.03,7.12,5.41,0.63,0.1,10.76,0,2.1,4.82,113.86,15.14,36.47,0,3.09,1.98,18.79,2.33,12.75,1.85,0
