"","AP3D1.cn","ARL5B.cn","ATG12.cn","ATG5.cn","BBS7.cn","C21orf58.cn","C21orf90.cn","CCNG2.cn","CDKN3.cn","CEP135.cn","CLDN7.cn","CLOCK.cn","COMMD8.cn","CTC1.cn","CYP2C18.cn","DIP2A-IT1.cn","DNMT3B.cn","DNMT3L.cn","EFNA5.cn","EGFLAM.cn","EMILIN2.cn","ENO3.cn","EPOR.cn","FAM133DP.cn","FBXL2.cn","FTCD.cn","GART.cn","GCN1L1.cn","GNA13.cn","GPR108.cn","IFITM10.cn","INTU.cn","KCNE1.cn","KCNE2.cn","KIAA1109.cn","KRTAP10-1.cn","KRTAP10-10.cn","KRTAP10-11.cn","KRTAP10-2.cn","KRTAP10-3.cn","KRTAP10-4.cn","KRTAP10-5.cn","KRTAP10-7.cn","KRTAP10-8.cn","KRTAP12-1.cn","KRTAP12-3.cn","KRTAP12-4.cn","LAMB1.cn","LINC00160.cn","LINC00162.cn","LINC00310.cn","LINC00313.cn","LINC00319.cn","LOC100129027.cn","LOC100292680.cn","LOC100506385.cn","LOC100506451.cn","LRRC3-AS1.cn","MAST1.cn","MCMBP.cn","MED24.cn","MGC16142.cn","MIPOL1.cn","NAT8L.cn","PHF10.cn","PKD2.cn","PNPLA6.cn","POFUT2.cn","POLG2.cn","PTPRE.cn","PWP2.cn","RASSF8.cn","RIN2.cn","RUNX1-IT1.cn","SLC13A3.cn","SNX33.cn","SPIC.cn","SQRDL.cn","THAP6.cn","TMEM33.cn","TMOD3.cn","TNNI3.cn","TUBG1.cn","ULBP2.cn","ULK3.cn","WDR19.cn","ZSWIM6.cn","AP3D1.rna","ARL5B.rna","ATG12.rna","ATG5.rna","BBS7.rna","BOD1L.rna","CBL.rna","CCNG2.rna","CDKN3.rna","CEP135.rna","CLDN7.rna","CLOCK.rna","COMMD8.rna","CSNK2A2.rna","CTC1.rna","CYP2C18.rna","DES.rna","DNMT3B.rna","EFNA5.rna","EGFLAM.rna","EMILIN2.rna","ENO3.rna","EPOR.rna","FBXL2.rna","FHOD1.rna","GART.rna","GCN1L1.rna","GNA13.rna","GPR108.rna","IFITM10.rna","IKZF4.rna","INTU.rna","KIAA1109.rna","LAMB1.rna","LOC100292680.rna","LOC100506451.rna","LOC100506844.rna","MAST1.rna","MCMBP.rna","MED24.rna","MIPOL1.rna","MT3.rna","NAT8L.rna","PHF10.rna","PKD2.rna","PNPLA6.rna","POFUT2.rna","POLG2.rna","PTPRE.rna","PWP2.rna","RASSF8.rna","RIN2.rna","SLC13A3.rna","SLC9A5.rna","SNX33.rna","SQRDL.rna","STK36.rna","THAP6.rna","TMED9.rna","TMEM33.rna","TMOD3.rna","TNNI3.rna","TUBG1.rna","ULBP2.rna","ULK3.rna","USP35.rna","WDR19.rna","WDR74.rna","ZSWIM6.rna","C21orf58.mut"
"88",1.73,0.95,1.55,2.99,1.57,1.3,1.3,1.55,1.6,1.57,1.58,1.57,1.53,1.58,1.58,1.3,3.27,1.3,1.54,4.53,1.55,1.58,1.57,2.81,1.65,1.3,1.11,2.87,1.66,1.56,2.07,1.57,1.15,1.15,1.57,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,2.69,1.15,1.3,1.15,1.3,1.3,1.3,3.14,1.15,3.29,1.3,1.57,1.65,1.66,2.81,1.57,1.8,2,1.58,1.56,1.3,1.66,1.8,1.3,3.29,3.51,1.15,3.46,1.79,1.73,2.3,1.55,1.53,2.45,3.12,1.68,1.75,1.79,1.53,3.01,32.48,7.48,11.49,21.91,5.17,2.77,4.19,26.57,21.07,4.92,0,3.41,12.86,17.16,3.25,0.03,2.6,4.42,2.23,13.7,2.47,1.37,3.55,2.1,7.89,31.13,32.89,21.87,14.5,0.75,2.12,2.29,3.79,75.93,0.09,8.59,5.6,2.57,22.78,18.35,1.15,0.74,0.5,25.21,11.8,6.33,21.15,9.83,3.34,6.84,35.71,19.41,0,0.56,7.52,9.75,10,3.83,222.56,15.1,21.66,3.44,27.23,2.95,14.36,2.71,5.71,40.71,3.92,0
"89",1.73,0.95,1.55,2.99,1.57,1.3,1.3,1.55,1.6,1.57,1.58,1.57,1.53,1.58,1.58,1.3,3.27,1.3,1.54,4.53,1.55,1.58,1.57,2.81,1.65,1.3,1.11,2.87,1.66,1.56,2.07,1.57,1.15,1.15,1.57,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,2.69,1.15,1.3,1.15,1.3,1.3,1.3,3.14,1.15,3.29,1.3,1.57,1.65,1.66,2.81,1.57,1.8,2,1.58,1.56,1.3,1.66,1.8,1.3,3.29,3.51,1.15,3.46,1.79,1.73,2.3,1.55,1.53,2.45,3.12,1.68,1.75,1.79,1.53,3.01,32.48,7.48,11.49,21.91,5.17,2.77,4.19,26.57,21.07,4.92,0,3.41,12.86,17.16,3.25,0.03,2.6,4.42,2.23,13.7,2.47,1.37,3.55,2.1,7.89,31.13,32.89,21.87,14.5,0.75,2.12,2.29,3.79,75.93,0.09,8.59,5.6,2.57,22.78,18.35,1.15,0.74,0.5,25.21,11.8,6.33,21.15,9.83,3.34,6.84,35.71,19.41,0,0.56,7.52,9.75,10,3.83,222.56,15.1,21.66,3.44,27.23,2.95,14.36,2.71,5.71,40.71,3.92,0
"90",1.73,0.95,1.55,2.99,1.57,1.3,1.3,1.55,1.6,1.57,1.58,1.57,1.53,1.58,1.58,1.3,3.27,1.3,1.54,4.53,1.55,1.58,1.57,2.81,1.65,1.3,1.11,2.87,1.66,1.56,2.07,1.57,1.15,1.15,1.57,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,2.69,1.15,1.3,1.15,1.3,1.3,1.3,3.14,1.15,3.29,1.3,1.57,1.65,1.66,2.81,1.57,1.8,2,1.58,1.56,1.3,1.66,1.8,1.3,3.29,3.51,1.15,3.46,1.79,1.73,2.3,1.55,1.53,2.45,3.12,1.68,1.75,1.79,1.53,3.01,32.48,7.48,11.49,21.91,5.17,2.77,4.19,26.57,21.07,4.92,0,3.41,12.86,17.16,3.25,0.03,2.6,4.42,2.23,13.7,2.47,1.37,3.55,2.1,7.89,31.13,32.89,21.87,14.5,0.75,2.12,2.29,3.79,75.93,0.09,8.59,5.6,2.57,22.78,18.35,1.15,0.74,0.5,25.21,11.8,6.33,21.15,9.83,3.34,6.84,35.71,19.41,0,0.56,7.52,9.75,10,3.83,222.56,15.1,21.66,3.44,27.23,2.95,14.36,2.71,5.71,40.71,3.92,0
"91",1.73,0.95,1.55,2.99,1.57,1.3,1.3,1.55,1.6,1.57,1.58,1.57,1.53,1.58,1.58,1.3,3.27,1.3,1.54,4.53,1.55,1.58,1.57,2.81,1.65,1.3,1.11,2.87,1.66,1.56,2.07,1.57,1.15,1.15,1.57,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,2.69,1.15,1.3,1.15,1.3,1.3,1.3,3.14,1.15,3.29,1.3,1.57,1.65,1.66,2.81,1.57,1.8,2,1.58,1.56,1.3,1.66,1.8,1.3,3.29,3.51,1.15,3.46,1.79,1.73,2.3,1.55,1.53,2.45,3.12,1.68,1.75,1.79,1.53,3.01,32.48,7.48,11.49,21.91,5.17,2.77,4.19,26.57,21.07,4.92,0,3.41,12.86,17.16,3.25,0.03,2.6,4.42,2.23,13.7,2.47,1.37,3.55,2.1,7.89,31.13,32.89,21.87,14.5,0.75,2.12,2.29,3.79,75.93,0.09,8.59,5.6,2.57,22.78,18.35,1.15,0.74,0.5,25.21,11.8,6.33,21.15,9.83,3.34,6.84,35.71,19.41,0,0.56,7.52,9.75,10,3.83,222.56,15.1,21.66,3.44,27.23,2.95,14.36,2.71,5.71,40.71,3.92,0
"92",1.73,0.95,1.55,2.99,1.57,1.3,1.3,1.55,1.6,1.57,1.58,1.57,1.53,1.58,1.58,1.3,3.27,1.3,1.54,4.53,1.55,1.58,1.57,2.81,1.65,1.3,1.11,2.87,1.66,1.56,2.07,1.57,1.15,1.15,1.57,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,2.69,1.15,1.3,1.15,1.3,1.3,1.3,3.14,1.15,3.29,1.3,1.57,1.65,1.66,2.81,1.57,1.8,2,1.58,1.56,1.3,1.66,1.8,1.3,3.29,3.51,1.15,3.46,1.79,1.73,2.3,1.55,1.53,2.45,3.12,1.68,1.75,1.79,1.53,3.01,32.48,7.48,11.49,21.91,5.17,2.77,4.19,26.57,21.07,4.92,0,3.41,12.86,17.16,3.25,0.03,2.6,4.42,2.23,13.7,2.47,1.37,3.55,2.1,7.89,31.13,32.89,21.87,14.5,0.75,2.12,2.29,3.79,75.93,0.09,8.59,5.6,2.57,22.78,18.35,1.15,0.74,0.5,25.21,11.8,6.33,21.15,9.83,3.34,6.84,35.71,19.41,0,0.56,7.52,9.75,10,3.83,222.56,15.1,21.66,3.44,27.23,2.95,14.36,2.71,5.71,40.71,3.92,0
"93",1.73,0.95,1.55,2.99,1.57,1.3,1.3,1.55,1.6,1.57,1.58,1.57,1.53,1.58,1.58,1.3,3.27,1.3,1.54,4.53,1.55,1.58,1.57,2.81,1.65,1.3,1.11,2.87,1.66,1.56,2.07,1.57,1.15,1.15,1.57,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,2.69,1.15,1.3,1.15,1.3,1.3,1.3,3.14,1.15,3.29,1.3,1.57,1.65,1.66,2.81,1.57,1.8,2,1.58,1.56,1.3,1.66,1.8,1.3,3.29,3.51,1.15,3.46,1.79,1.73,2.3,1.55,1.53,2.45,3.12,1.68,1.75,1.79,1.53,3.01,32.48,7.48,11.49,21.91,5.17,2.77,4.19,26.57,21.07,4.92,0,3.41,12.86,17.16,3.25,0.03,2.6,4.42,2.23,13.7,2.47,1.37,3.55,2.1,7.89,31.13,32.89,21.87,14.5,0.75,2.12,2.29,3.79,75.93,0.09,8.59,5.6,2.57,22.78,18.35,1.15,0.74,0.5,25.21,11.8,6.33,21.15,9.83,3.34,6.84,35.71,19.41,0,0.56,7.52,9.75,10,3.83,222.56,15.1,21.66,3.44,27.23,2.95,14.36,2.71,5.71,40.71,3.92,0
"94",1.73,0.95,1.55,2.99,1.57,1.3,1.3,1.55,1.6,1.57,1.58,1.57,1.53,1.58,1.58,1.3,3.27,1.3,1.54,4.53,1.55,1.58,1.57,2.81,1.65,1.3,1.11,2.87,1.66,1.56,2.07,1.57,1.15,1.15,1.57,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,2.69,1.15,1.3,1.15,1.3,1.3,1.3,3.14,1.15,3.29,1.3,1.57,1.65,1.66,2.81,1.57,1.8,2,1.58,1.56,1.3,1.66,1.8,1.3,3.29,3.51,1.15,3.46,1.79,1.73,2.3,1.55,1.53,2.45,3.12,1.68,1.75,1.79,1.53,3.01,32.48,7.48,11.49,21.91,5.17,2.77,4.19,26.57,21.07,4.92,0,3.41,12.86,17.16,3.25,0.03,2.6,4.42,2.23,13.7,2.47,1.37,3.55,2.1,7.89,31.13,32.89,21.87,14.5,0.75,2.12,2.29,3.79,75.93,0.09,8.59,5.6,2.57,22.78,18.35,1.15,0.74,0.5,25.21,11.8,6.33,21.15,9.83,3.34,6.84,35.71,19.41,0,0.56,7.52,9.75,10,3.83,222.56,15.1,21.66,3.44,27.23,2.95,14.36,2.71,5.71,40.71,3.92,0
"95",1.73,0.95,1.55,2.99,1.57,1.3,1.3,1.55,1.6,1.57,1.58,1.57,1.53,1.58,1.58,1.3,3.27,1.3,1.54,4.53,1.55,1.58,1.57,2.81,1.65,1.3,1.11,2.87,1.66,1.56,2.07,1.57,1.15,1.15,1.57,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,2.69,1.15,1.3,1.15,1.3,1.3,1.3,3.14,1.15,3.29,1.3,1.57,1.65,1.66,2.81,1.57,1.8,2,1.58,1.56,1.3,1.66,1.8,1.3,3.29,3.51,1.15,3.46,1.79,1.73,2.3,1.55,1.53,2.45,3.12,1.68,1.75,1.79,1.53,3.01,32.48,7.48,11.49,21.91,5.17,2.77,4.19,26.57,21.07,4.92,0,3.41,12.86,17.16,3.25,0.03,2.6,4.42,2.23,13.7,2.47,1.37,3.55,2.1,7.89,31.13,32.89,21.87,14.5,0.75,2.12,2.29,3.79,75.93,0.09,8.59,5.6,2.57,22.78,18.35,1.15,0.74,0.5,25.21,11.8,6.33,21.15,9.83,3.34,6.84,35.71,19.41,0,0.56,7.52,9.75,10,3.83,222.56,15.1,21.66,3.44,27.23,2.95,14.36,2.71,5.71,40.71,3.92,0
"96",1.73,0.95,1.55,2.99,1.57,1.3,1.3,1.55,1.6,1.57,1.58,1.57,1.53,1.58,1.58,1.3,3.27,1.3,1.54,4.53,1.55,1.58,1.57,2.81,1.65,1.3,1.11,2.87,1.66,1.56,2.07,1.57,1.15,1.15,1.57,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,2.69,1.15,1.3,1.15,1.3,1.3,1.3,3.14,1.15,3.29,1.3,1.57,1.65,1.66,2.81,1.57,1.8,2,1.58,1.56,1.3,1.66,1.8,1.3,3.29,3.51,1.15,3.46,1.79,1.73,2.3,1.55,1.53,2.45,3.12,1.68,1.75,1.79,1.53,3.01,32.48,7.48,11.49,21.91,5.17,2.77,4.19,26.57,21.07,4.92,0,3.41,12.86,17.16,3.25,0.03,2.6,4.42,2.23,13.7,2.47,1.37,3.55,2.1,7.89,31.13,32.89,21.87,14.5,0.75,2.12,2.29,3.79,75.93,0.09,8.59,5.6,2.57,22.78,18.35,1.15,0.74,0.5,25.21,11.8,6.33,21.15,9.83,3.34,6.84,35.71,19.41,0,0.56,7.52,9.75,10,3.83,222.56,15.1,21.66,3.44,27.23,2.95,14.36,2.71,5.71,40.71,3.92,0
"97",1.73,0.95,1.55,2.99,1.57,1.3,1.3,1.55,1.6,1.57,1.58,1.57,1.53,1.58,1.58,1.3,3.27,1.3,1.54,4.53,1.55,1.58,1.57,2.81,1.65,1.3,1.11,2.87,1.66,1.56,2.07,1.57,1.15,1.15,1.57,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,2.69,1.15,1.3,1.15,1.3,1.3,1.3,3.14,1.15,3.29,1.3,1.57,1.65,1.66,2.81,1.57,1.8,2,1.58,1.56,1.3,1.66,1.8,1.3,3.29,3.51,1.15,3.46,1.79,1.73,2.3,1.55,1.53,2.45,3.12,1.68,1.75,1.79,1.53,3.01,32.48,7.48,11.49,21.91,5.17,2.77,4.19,26.57,21.07,4.92,0,3.41,12.86,17.16,3.25,0.03,2.6,4.42,2.23,13.7,2.47,1.37,3.55,2.1,7.89,31.13,32.89,21.87,14.5,0.75,2.12,2.29,3.79,75.93,0.09,8.59,5.6,2.57,22.78,18.35,1.15,0.74,0.5,25.21,11.8,6.33,21.15,9.83,3.34,6.84,35.71,19.41,0,0.56,7.52,9.75,10,3.83,222.56,15.1,21.66,3.44,27.23,2.95,14.36,2.71,5.71,40.71,3.92,0
