"","AP3D1.cn","ARL5B.cn","ATG12.cn","BBS7.cn","CCNG2.cn","CDKN3.cn","CEP135.cn","COMMD8.cn","CTC1.cn","CYP2C18.cn","DNMT3B.cn","EFNA5.cn","EGFLAM.cn","EMILIN2.cn","ENO3.cn","FBXL2.cn","GART.cn","GCN1L1.cn","GNA13.cn","IFITM10.cn","INTU.cn","KIAA1109.cn","LOC100506451.cn","MAST1.cn","MED24.cn","MIPOL1.cn","NAT8L.cn","PHF10.cn","POFUT2.cn","POLG2.cn","PWP2.cn","RASSF8.cn","SLC13A3.cn","SQRDL.cn","THAP6.cn","TMEM33.cn","TMOD3.cn","TNNI3.cn","TUBG1.cn","ULBP2.cn","WDR19.cn","AP3D1.rna","ARL5B.rna","ATG12.rna","BBS7.rna","BOD1L.rna","CBL.rna","CCNG2.rna","CDKN3.rna","CEP135.rna","COMMD8.rna","CTC1.rna","CYP2C18.rna","DES.rna","DNMT3B.rna","EFNA5.rna","EGFLAM.rna","EMILIN2.rna","ENO3.rna","FBXL2.rna","GART.rna","GCN1L1.rna","GNA13.rna","IFITM10.rna","IKZF4.rna","INTU.rna","KIAA1109.rna","LOC100506451.rna","LOC100506844.rna","MAST1.rna","MED24.rna","MIPOL1.rna","MT3.rna","NAT8L.rna","PHF10.rna","POFUT2.rna","POLG2.rna","PWP2.rna","RASSF8.rna","SLC13A3.rna","SLC9A5.rna","SQRDL.rna","STK36.rna","THAP6.rna","TMEM33.rna","TMOD3.rna","TNNI3.rna","TUBG1.rna","ULBP2.rna","USP35.rna","WDR19.rna"
"88",1.73,0.95,1.55,1.57,1.55,1.6,1.57,1.53,1.58,1.58,3.27,1.54,4.53,1.55,1.58,1.65,1.11,2.87,1.66,2.07,1.57,1.57,3.29,1.57,1.66,1.57,1.8,2,1.3,1.66,1.3,3.29,3.46,2.3,1.55,1.53,2.45,3.12,1.68,1.75,1.53,32.48,7.48,11.49,5.17,2.77,4.19,26.57,21.07,4.92,12.86,3.25,0.03,2.6,4.42,2.23,13.7,2.47,1.37,2.1,31.13,32.89,21.87,0.75,2.12,2.29,3.79,8.59,5.6,2.57,18.35,1.15,0.74,0.5,25.21,21.15,9.83,6.84,35.71,0,0.56,9.75,10,3.83,15.1,21.66,3.44,27.23,2.95,2.71,5.71
"89",1.73,0.95,1.55,1.57,1.55,1.6,1.57,1.53,1.58,1.58,3.27,1.54,4.53,1.55,1.58,1.65,1.11,2.87,1.66,2.07,1.57,1.57,3.29,1.57,1.66,1.57,1.8,2,1.3,1.66,1.3,3.29,3.46,2.3,1.55,1.53,2.45,3.12,1.68,1.75,1.53,32.48,7.48,11.49,5.17,2.77,4.19,26.57,21.07,4.92,12.86,3.25,0.03,2.6,4.42,2.23,13.7,2.47,1.37,2.1,31.13,32.89,21.87,0.75,2.12,2.29,3.79,8.59,5.6,2.57,18.35,1.15,0.74,0.5,25.21,21.15,9.83,6.84,35.71,0,0.56,9.75,10,3.83,15.1,21.66,3.44,27.23,2.95,2.71,5.71
"90",1.73,0.95,1.55,1.57,1.55,1.6,1.57,1.53,1.58,1.58,3.27,1.54,4.53,1.55,1.58,1.65,1.11,2.87,1.66,2.07,1.57,1.57,3.29,1.57,1.66,1.57,1.8,2,1.3,1.66,1.3,3.29,3.46,2.3,1.55,1.53,2.45,3.12,1.68,1.75,1.53,32.48,7.48,11.49,5.17,2.77,4.19,26.57,21.07,4.92,12.86,3.25,0.03,2.6,4.42,2.23,13.7,2.47,1.37,2.1,31.13,32.89,21.87,0.75,2.12,2.29,3.79,8.59,5.6,2.57,18.35,1.15,0.74,0.5,25.21,21.15,9.83,6.84,35.71,0,0.56,9.75,10,3.83,15.1,21.66,3.44,27.23,2.95,2.71,5.71
"91",1.73,0.95,1.55,1.57,1.55,1.6,1.57,1.53,1.58,1.58,3.27,1.54,4.53,1.55,1.58,1.65,1.11,2.87,1.66,2.07,1.57,1.57,3.29,1.57,1.66,1.57,1.8,2,1.3,1.66,1.3,3.29,3.46,2.3,1.55,1.53,2.45,3.12,1.68,1.75,1.53,32.48,7.48,11.49,5.17,2.77,4.19,26.57,21.07,4.92,12.86,3.25,0.03,2.6,4.42,2.23,13.7,2.47,1.37,2.1,31.13,32.89,21.87,0.75,2.12,2.29,3.79,8.59,5.6,2.57,18.35,1.15,0.74,0.5,25.21,21.15,9.83,6.84,35.71,0,0.56,9.75,10,3.83,15.1,21.66,3.44,27.23,2.95,2.71,5.71
"92",1.73,0.95,1.55,1.57,1.55,1.6,1.57,1.53,1.58,1.58,3.27,1.54,4.53,1.55,1.58,1.65,1.11,2.87,1.66,2.07,1.57,1.57,3.29,1.57,1.66,1.57,1.8,2,1.3,1.66,1.3,3.29,3.46,2.3,1.55,1.53,2.45,3.12,1.68,1.75,1.53,32.48,7.48,11.49,5.17,2.77,4.19,26.57,21.07,4.92,12.86,3.25,0.03,2.6,4.42,2.23,13.7,2.47,1.37,2.1,31.13,32.89,21.87,0.75,2.12,2.29,3.79,8.59,5.6,2.57,18.35,1.15,0.74,0.5,25.21,21.15,9.83,6.84,35.71,0,0.56,9.75,10,3.83,15.1,21.66,3.44,27.23,2.95,2.71,5.71
"93",1.73,0.95,1.55,1.57,1.55,1.6,1.57,1.53,1.58,1.58,3.27,1.54,4.53,1.55,1.58,1.65,1.11,2.87,1.66,2.07,1.57,1.57,3.29,1.57,1.66,1.57,1.8,2,1.3,1.66,1.3,3.29,3.46,2.3,1.55,1.53,2.45,3.12,1.68,1.75,1.53,32.48,7.48,11.49,5.17,2.77,4.19,26.57,21.07,4.92,12.86,3.25,0.03,2.6,4.42,2.23,13.7,2.47,1.37,2.1,31.13,32.89,21.87,0.75,2.12,2.29,3.79,8.59,5.6,2.57,18.35,1.15,0.74,0.5,25.21,21.15,9.83,6.84,35.71,0,0.56,9.75,10,3.83,15.1,21.66,3.44,27.23,2.95,2.71,5.71
"94",1.73,0.95,1.55,1.57,1.55,1.6,1.57,1.53,1.58,1.58,3.27,1.54,4.53,1.55,1.58,1.65,1.11,2.87,1.66,2.07,1.57,1.57,3.29,1.57,1.66,1.57,1.8,2,1.3,1.66,1.3,3.29,3.46,2.3,1.55,1.53,2.45,3.12,1.68,1.75,1.53,32.48,7.48,11.49,5.17,2.77,4.19,26.57,21.07,4.92,12.86,3.25,0.03,2.6,4.42,2.23,13.7,2.47,1.37,2.1,31.13,32.89,21.87,0.75,2.12,2.29,3.79,8.59,5.6,2.57,18.35,1.15,0.74,0.5,25.21,21.15,9.83,6.84,35.71,0,0.56,9.75,10,3.83,15.1,21.66,3.44,27.23,2.95,2.71,5.71
"95",1.73,0.95,1.55,1.57,1.55,1.6,1.57,1.53,1.58,1.58,3.27,1.54,4.53,1.55,1.58,1.65,1.11,2.87,1.66,2.07,1.57,1.57,3.29,1.57,1.66,1.57,1.8,2,1.3,1.66,1.3,3.29,3.46,2.3,1.55,1.53,2.45,3.12,1.68,1.75,1.53,32.48,7.48,11.49,5.17,2.77,4.19,26.57,21.07,4.92,12.86,3.25,0.03,2.6,4.42,2.23,13.7,2.47,1.37,2.1,31.13,32.89,21.87,0.75,2.12,2.29,3.79,8.59,5.6,2.57,18.35,1.15,0.74,0.5,25.21,21.15,9.83,6.84,35.71,0,0.56,9.75,10,3.83,15.1,21.66,3.44,27.23,2.95,2.71,5.71
"96",1.73,0.95,1.55,1.57,1.55,1.6,1.57,1.53,1.58,1.58,3.27,1.54,4.53,1.55,1.58,1.65,1.11,2.87,1.66,2.07,1.57,1.57,3.29,1.57,1.66,1.57,1.8,2,1.3,1.66,1.3,3.29,3.46,2.3,1.55,1.53,2.45,3.12,1.68,1.75,1.53,32.48,7.48,11.49,5.17,2.77,4.19,26.57,21.07,4.92,12.86,3.25,0.03,2.6,4.42,2.23,13.7,2.47,1.37,2.1,31.13,32.89,21.87,0.75,2.12,2.29,3.79,8.59,5.6,2.57,18.35,1.15,0.74,0.5,25.21,21.15,9.83,6.84,35.71,0,0.56,9.75,10,3.83,15.1,21.66,3.44,27.23,2.95,2.71,5.71
"97",1.73,0.95,1.55,1.57,1.55,1.6,1.57,1.53,1.58,1.58,3.27,1.54,4.53,1.55,1.58,1.65,1.11,2.87,1.66,2.07,1.57,1.57,3.29,1.57,1.66,1.57,1.8,2,1.3,1.66,1.3,3.29,3.46,2.3,1.55,1.53,2.45,3.12,1.68,1.75,1.53,32.48,7.48,11.49,5.17,2.77,4.19,26.57,21.07,4.92,12.86,3.25,0.03,2.6,4.42,2.23,13.7,2.47,1.37,2.1,31.13,32.89,21.87,0.75,2.12,2.29,3.79,8.59,5.6,2.57,18.35,1.15,0.74,0.5,25.21,21.15,9.83,6.84,35.71,0,0.56,9.75,10,3.83,15.1,21.66,3.44,27.23,2.95,2.71,5.71
