"","ANAPC5.cn","ARHGEF7.cn","ATP6V1B2.cn","C1orf31.cn","CCDC144B.cn","CTH.cn","DDX17.cn","DHX15.cn","DYNC1H1.cn","EP300.cn","GANC.cn","GPATCH3.cn","GPATCH8.cn","GTPBP1.cn","HSPA4L.cn","LOC644961.cn","LOC645249.cn","LRRC58.cn","MAOA.cn","MIR1976.cn","MMAB.cn","MVK.cn","MYCBP2.cn","NUDT3.cn","OR11H2.cn","OR4K1.cn","OR4K2.cn","OR4K5.cn","OR4M1.cn","OR4N2.cn","OR4Q3.cn","PAN3.cn","PBK.cn","PEAK1.cn","PLK2.cn","PPP1R10.cn","PSMD9.cn","RCBTB1.cn","SDK1.cn","SERPINB7.cn","SFN.cn","SNRPA1.cn","SOS2.cn","ST14.cn","TCEANC.cn","TEP1.cn","TMEM110.cn","TPI1.cn","TPP2.cn","TUBGCP3.cn","UNC5D.cn","ZNF264.cn","ZNF512B.cn","ALDOA.rna","ANAPC5.rna","ARHGEF7.rna","ATP6V1B2.rna","BAZ2A.rna","C12orf48.rna","C1orf31.rna","CARHSP1.rna","CD63.rna","CDX1.rna","CRAMP1L.rna","CTH.rna","DDX17.rna","DHX15.rna","DYNC1H1.rna","EP300.rna","FBXO41.rna","GANC.rna","GPATCH3.rna","GPATCH8.rna","GTPBP1.rna","HSPA4L.rna","IGIP.rna","LCLAT1.rna","LOC645249.rna","LRRC58.rna","MAOA.rna","MMAB.rna","MVK.rna","MYCBP2.rna","NUDT16L1.rna","NUDT3.rna","PAN2.rna","PAN3.rna","PBK.rna","PEAK1.rna","PLK2.rna","PPP1R10.rna","PSMD9.rna","RCBTB1.rna","RIF1.rna","SDK1.rna","SERPINB7.rna","SMARCC2.rna","SNRPA1.rna","SOS2.rna","ST14.rna","TCEANC.rna","TEP1.rna","TMEM110.rna","TPI1.rna","TPP2.rna","TUBGCP3.rna","UNKL.rna","VPS37C.rna","ZNF264.rna","ZNF512B.rna"
"175",1.08,2.07,1.06,2.06,1.06,1.03,2.06,2.07,2.03,2.06,2.03,1.07,3.86,2.06,2.04,1.07,1.1,2.01,0.99,1.07,1.04,1.04,2.01,2.06,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.03,1.01,2,2.01,2.07,1.08,2.01,1.72,1.02,1.07,1.06,2.03,2.1,0.99,2,1.01,2.01,2.07,2.07,1.01,2.08,2.04,538.02,22.89,16.28,18.84,47.96,2.7,23.11,31.88,1142.16,0.16,6.89,1.55,168.59,54.97,24.02,17.16,10.6,7.11,3.55,13.44,15.62,5.02,7.11,6.78,2.75,12.74,13.03,2.5,3.34,12.38,19.08,21.45,20.22,14.54,3.34,4.55,2.39,24.56,9.42,12.15,8.18,0.48,2.38,39.54,10.75,17.46,136.57,1.26,33.33,4.21,180.18,16.07,7.58,8.19,14.26,4.18,6.8
"176",1.08,2.07,1.06,2.06,1.06,1.03,2.06,2.07,2.03,2.06,2.03,1.07,3.86,2.06,2.04,1.07,1.1,2.01,0.99,1.07,1.04,1.04,2.01,2.06,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.03,1.01,2,2.01,2.07,1.08,2.01,1.72,1.02,1.07,1.06,2.03,2.1,0.99,2,1.01,2.01,2.07,2.07,1.01,2.08,2.04,538.02,22.89,16.28,18.84,47.96,2.7,23.11,31.88,1142.16,0.16,6.89,1.55,168.59,54.97,24.02,17.16,10.6,7.11,3.55,13.44,15.62,5.02,7.11,6.78,2.75,12.74,13.03,2.5,3.34,12.38,19.08,21.45,20.22,14.54,3.34,4.55,2.39,24.56,9.42,12.15,8.18,0.48,2.38,39.54,10.75,17.46,136.57,1.26,33.33,4.21,180.18,16.07,7.58,8.19,14.26,4.18,6.8
"177",1.08,2.07,1.06,2.06,1.06,1.03,2.06,2.07,2.03,2.06,2.03,1.07,3.86,2.06,2.04,1.07,1.1,2.01,0.99,1.07,1.04,1.04,2.01,2.06,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.03,1.01,2,2.01,2.07,1.08,2.01,1.72,1.02,1.07,1.06,2.03,2.1,0.99,2,1.01,2.01,2.07,2.07,1.01,2.08,2.04,538.02,22.89,16.28,18.84,47.96,2.7,23.11,31.88,1142.16,0.16,6.89,1.55,168.59,54.97,24.02,17.16,10.6,7.11,3.55,13.44,15.62,5.02,7.11,6.78,2.75,12.74,13.03,2.5,3.34,12.38,19.08,21.45,20.22,14.54,3.34,4.55,2.39,24.56,9.42,12.15,8.18,0.48,2.38,39.54,10.75,17.46,136.57,1.26,33.33,4.21,180.18,16.07,7.58,8.19,14.26,4.18,6.8
"178",1.08,2.07,1.06,2.06,1.06,1.03,2.06,2.07,2.03,2.06,2.03,1.07,3.86,2.06,2.04,1.07,1.1,2.01,0.99,1.07,1.04,1.04,2.01,2.06,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.03,1.01,2,2.01,2.07,1.08,2.01,1.72,1.02,1.07,1.06,2.03,2.1,0.99,2,1.01,2.01,2.07,2.07,1.01,2.08,2.04,538.02,22.89,16.28,18.84,47.96,2.7,23.11,31.88,1142.16,0.16,6.89,1.55,168.59,54.97,24.02,17.16,10.6,7.11,3.55,13.44,15.62,5.02,7.11,6.78,2.75,12.74,13.03,2.5,3.34,12.38,19.08,21.45,20.22,14.54,3.34,4.55,2.39,24.56,9.42,12.15,8.18,0.48,2.38,39.54,10.75,17.46,136.57,1.26,33.33,4.21,180.18,16.07,7.58,8.19,14.26,4.18,6.8
"179",1.08,2.07,1.06,2.06,1.06,1.03,2.06,2.07,2.03,2.06,2.03,1.07,3.86,2.06,2.04,1.07,1.1,2.01,0.99,1.07,1.04,1.04,2.01,2.06,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.03,1.01,2,2.01,2.07,1.08,2.01,1.72,1.02,1.07,1.06,2.03,2.1,0.99,2,1.01,2.01,2.07,2.07,1.01,2.08,2.04,538.02,22.89,16.28,18.84,47.96,2.7,23.11,31.88,1142.16,0.16,6.89,1.55,168.59,54.97,24.02,17.16,10.6,7.11,3.55,13.44,15.62,5.02,7.11,6.78,2.75,12.74,13.03,2.5,3.34,12.38,19.08,21.45,20.22,14.54,3.34,4.55,2.39,24.56,9.42,12.15,8.18,0.48,2.38,39.54,10.75,17.46,136.57,1.26,33.33,4.21,180.18,16.07,7.58,8.19,14.26,4.18,6.8
"180",1.08,2.07,1.06,2.06,1.06,1.03,2.06,2.07,2.03,2.06,2.03,1.07,3.86,2.06,2.04,1.07,1.1,2.01,0.99,1.07,1.04,1.04,2.01,2.06,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.03,1.01,2,2.01,2.07,1.08,2.01,1.72,1.02,1.07,1.06,2.03,2.1,0.99,2,1.01,2.01,2.07,2.07,1.01,2.08,2.04,538.02,22.89,16.28,18.84,47.96,2.7,23.11,31.88,1142.16,0.16,6.89,1.55,168.59,54.97,24.02,17.16,10.6,7.11,3.55,13.44,15.62,5.02,7.11,6.78,2.75,12.74,13.03,2.5,3.34,12.38,19.08,21.45,20.22,14.54,3.34,4.55,2.39,24.56,9.42,12.15,8.18,0.48,2.38,39.54,10.75,17.46,136.57,1.26,33.33,4.21,180.18,16.07,7.58,8.19,14.26,4.18,6.8
"181",1.08,2.07,1.06,2.06,1.06,1.03,2.06,2.07,2.03,2.06,2.03,1.07,3.86,2.06,2.04,1.07,1.1,2.01,0.99,1.07,1.04,1.04,2.01,2.06,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.03,1.01,2,2.01,2.07,1.08,2.01,1.72,1.02,1.07,1.06,2.03,2.1,0.99,2,1.01,2.01,2.07,2.07,1.01,2.08,2.04,538.02,22.89,16.28,18.84,47.96,2.7,23.11,31.88,1142.16,0.16,6.89,1.55,168.59,54.97,24.02,17.16,10.6,7.11,3.55,13.44,15.62,5.02,7.11,6.78,2.75,12.74,13.03,2.5,3.34,12.38,19.08,21.45,20.22,14.54,3.34,4.55,2.39,24.56,9.42,12.15,8.18,0.48,2.38,39.54,10.75,17.46,136.57,1.26,33.33,4.21,180.18,16.07,7.58,8.19,14.26,4.18,6.8
"182",1.08,2.07,1.06,2.06,1.06,1.03,2.06,2.07,2.03,2.06,2.03,1.07,3.86,2.06,2.04,1.07,1.1,2.01,0.99,1.07,1.04,1.04,2.01,2.06,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.03,1.01,2,2.01,2.07,1.08,2.01,1.72,1.02,1.07,1.06,2.03,2.1,0.99,2,1.01,2.01,2.07,2.07,1.01,2.08,2.04,538.02,22.89,16.28,18.84,47.96,2.7,23.11,31.88,1142.16,0.16,6.89,1.55,168.59,54.97,24.02,17.16,10.6,7.11,3.55,13.44,15.62,5.02,7.11,6.78,2.75,12.74,13.03,2.5,3.34,12.38,19.08,21.45,20.22,14.54,3.34,4.55,2.39,24.56,9.42,12.15,8.18,0.48,2.38,39.54,10.75,17.46,136.57,1.26,33.33,4.21,180.18,16.07,7.58,8.19,14.26,4.18,6.8
"183",1.08,2.07,1.06,2.06,1.06,1.03,2.06,2.07,2.03,2.06,2.03,1.07,3.86,2.06,2.04,1.07,1.1,2.01,0.99,1.07,1.04,1.04,2.01,2.06,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.03,1.01,2,2.01,2.07,1.08,2.01,1.72,1.02,1.07,1.06,2.03,2.1,0.99,2,1.01,2.01,2.07,2.07,1.01,2.08,2.04,538.02,22.89,16.28,18.84,47.96,2.7,23.11,31.88,1142.16,0.16,6.89,1.55,168.59,54.97,24.02,17.16,10.6,7.11,3.55,13.44,15.62,5.02,7.11,6.78,2.75,12.74,13.03,2.5,3.34,12.38,19.08,21.45,20.22,14.54,3.34,4.55,2.39,24.56,9.42,12.15,8.18,0.48,2.38,39.54,10.75,17.46,136.57,1.26,33.33,4.21,180.18,16.07,7.58,8.19,14.26,4.18,6.8
"184",1.08,2.07,1.06,2.06,1.06,1.03,2.06,2.07,2.03,2.06,2.03,1.07,3.86,2.06,2.04,1.07,1.1,2.01,0.99,1.07,1.04,1.04,2.01,2.06,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.03,1.01,2,2.01,2.07,1.08,2.01,1.72,1.02,1.07,1.06,2.03,2.1,0.99,2,1.01,2.01,2.07,2.07,1.01,2.08,2.04,538.02,22.89,16.28,18.84,47.96,2.7,23.11,31.88,1142.16,0.16,6.89,1.55,168.59,54.97,24.02,17.16,10.6,7.11,3.55,13.44,15.62,5.02,7.11,6.78,2.75,12.74,13.03,2.5,3.34,12.38,19.08,21.45,20.22,14.54,3.34,4.55,2.39,24.56,9.42,12.15,8.18,0.48,2.38,39.54,10.75,17.46,136.57,1.26,33.33,4.21,180.18,16.07,7.58,8.19,14.26,4.18,6.8
