Model	Tumor Type	Treatment	Volume (mm3)	body weight (g)	Days Post T0	% TVol Difference	% BW Difference
X-1004	BRCA	BGJ398	199.7	28.2	0	0	0
X-1004	BRCA	BGJ398	181.9	28	2	-8.9	-0.7
X-1004	BRCA	BGJ398	172.7	28.4	5	-13.5	0.7
X-1004	BRCA	BGJ398	129.6	27.2	9	-35.1	-3.5
X-1004	BRCA	BGJ398	91.3	26.7	12	-54.3	-5.3
X-1004	BRCA	BGJ398	117.1	26.2	16	-41.4	-7.1
X-1004	BRCA	BGJ398	122.7	27	19	-38.6	-4.3
X-1004	BRCA	BGJ398	134.4	24.9	23	-32.7	-11.7
X-1004	BRCA	BGJ398	143.3	23.2	26	-28.2	-17.7
X-1004	BRCA	BKM120	271.1	30.5	0	0	0
X-1004	BRCA	BKM120	402.7	30.9	4	48.5	1.3
X-1004	BRCA	BKM120	332.3	30.7	11	22.6	0.7
X-1004	BRCA	BKM120	549.7	31.2	15	102.8	2.3
X-1004	BRCA	BKM120	444.2	30.3	18	63.9	-0.7
X-1004	BRCA	BKM120	446.1	32.1	22	64.6	5.2
X-1004	BRCA	BKM120	613.6	31.1	25	126.3	2
X-1004	BRCA	BKM120	813.4	31.8	27	200	4.3
X-1004	BRCA	BYL719 + LEE011	298.5	26.6	0	0	0
X-1004	BRCA	BYL719 + LEE011	417.2	27.1	3	39.8	1.9
X-1004	BRCA	BYL719 + LEE011	516.6	26.4	7	73.1	-0.8
X-1004	BRCA	BYL719 + LEE011	588.8	25.8	11	97.3	-3
X-1004	BRCA	BYL719 + LEE011	586	26.4	15	96.3	-0.8
X-1004	BRCA	BYL719 + LEE011	613.3	25.3	18	105.5	-4.9
X-1004	BRCA	BYL719 + LEE011	653.8	24.8	22	119	-6.8
X-1004	BRCA	BYL719 + LEE011	744.7	27.3	26	149.5	2.6
X-1004	BRCA	BYL719 + LEE011	777.4	25	30	160.4	-6
X-1004	BRCA	BYL719 + LEE011	795.4	25.4	32	166.5	-4.5
