"","ADSL.cn","ARHGAP28.cn","ARSB.cn","BFSP1.cn","C17orf53.cn","C18orf54.cn","CARD8.cn","CD99L2.cn","CLTCL1.cn","CPXM1.cn","DLC1.cn","DLGAP5.cn","ESRP1.cn","EXTL2.cn","F11R.cn","FTSJ3.cn","HDDC2.cn","IRF6.cn","ITPRIPL1.cn","LEPROTL1.cn","LLPH.cn","MAGEA4.cn","MAK16.cn","MTMR9.cn","NEIL3.cn","NRSN2.cn","PFAS.cn","POLR3D.cn","PRR3.cn","RECK.cn","SENP3-EIF4A1.cn","SMARCA1.cn","SNRNP40.cn","TCTN3.cn","TMC4.cn","TUBB2B.cn","TYMS.cn","ZC3HC1.cn","ZNF853.cn","AASDHPPT.rna","ADSL.rna","ARHGAP28.rna","ARSB.rna","BFSP1.rna","C17orf53.rna","C18orf54.rna","C2orf44.rna","CARD8.rna","CD99L2.rna","CHST10.rna","CLTCL1.rna","COG8.rna","CPXM1.rna","DDX19A.rna","DIXDC1.rna","DLC1.rna","DLGAP5.rna","E2F6.rna","ESRP1.rna","EXTL2.rna","F11R.rna","FTSJ3.rna","HDDC2.rna","HOXD13.rna","IRF6.rna","ITPRIPL1.rna","LEPROTL1.rna","LLPH.rna","MAGEA4.rna","MAK16.rna","MTMR9.rna","MYL6B.rna","NEIL3.rna","NRSN2.rna","PFAS.rna","POLR3D.rna","PRR3.rna","RECK.rna","SENP3-EIF4A1.rna","SMARCA1.rna","SNRNP40.rna","SPRY4.rna","ST3GAL2.rna","TCTN3.rna","TMC4.rna","TUBB2B.rna","TYMS.rna","ZC3HC1.rna","ZNF853.rna"
"2",1.75,1.82,0.94,4,1.74,1.88,2.43,1.16,1.71,1.82,1.87,1.75,1.95,3.76,2.66,3.48,2.93,3.48,2.81,1.75,6.87,1.16,1.75,1.82,1.87,1.93,1.68,1.73,3.53,1.68,1.68,1.13,2.64,2.62,2.43,2.81,0.93,2.93,3.53,10.5,44.26,4.09,5,5.96,3.66,1.01,2.69,2.04,2.63,5.39,2.63,7.69,0.03,11,3.21,0,16.4,5.02,71.71,5.99,83.56,28.4,37.39,0,22.13,0,14.89,27.35,0,10.7,1.53,15.41,2.63,14.2,10.42,10.21,1.33,0.81,299.81,21.72,28.19,1.39,0.64,24.23,10.9,0.06,28.42,9.09,18.59
"10",1.75,1.82,0.94,4,1.74,1.88,2.43,1.16,1.71,1.82,1.87,1.75,1.95,3.76,2.66,3.48,2.93,3.48,2.81,1.75,6.87,1.16,1.75,1.82,1.87,1.93,1.68,1.73,3.53,1.68,1.68,1.13,2.64,2.62,2.43,2.81,0.93,2.93,3.53,10.5,44.26,4.09,5,5.96,3.66,1.01,2.69,2.04,2.63,5.39,2.63,7.69,0.03,11,3.21,0,16.4,5.02,71.71,5.99,83.56,28.4,37.39,0,22.13,0,14.89,27.35,0,10.7,1.53,15.41,2.63,14.2,10.42,10.21,1.33,0.81,299.81,21.72,28.19,1.39,0.64,24.23,10.9,0.06,28.42,9.09,18.59
"17",1.75,1.82,0.94,4,1.74,1.88,2.43,1.16,1.71,1.82,1.87,1.75,1.95,3.76,2.66,3.48,2.93,3.48,2.81,1.75,6.87,1.16,1.75,1.82,1.87,1.93,1.68,1.73,3.53,1.68,1.68,1.13,2.64,2.62,2.43,2.81,0.93,2.93,3.53,10.5,44.26,4.09,5,5.96,3.66,1.01,2.69,2.04,2.63,5.39,2.63,7.69,0.03,11,3.21,0,16.4,5.02,71.71,5.99,83.56,28.4,37.39,0,22.13,0,14.89,27.35,0,10.7,1.53,15.41,2.63,14.2,10.42,10.21,1.33,0.81,299.81,21.72,28.19,1.39,0.64,24.23,10.9,0.06,28.42,9.09,18.59
"21",1.75,1.82,0.94,4,1.74,1.88,2.43,1.16,1.71,1.82,1.87,1.75,1.95,3.76,2.66,3.48,2.93,3.48,2.81,1.75,6.87,1.16,1.75,1.82,1.87,1.93,1.68,1.73,3.53,1.68,1.68,1.13,2.64,2.62,2.43,2.81,0.93,2.93,3.53,10.5,44.26,4.09,5,5.96,3.66,1.01,2.69,2.04,2.63,5.39,2.63,7.69,0.03,11,3.21,0,16.4,5.02,71.71,5.99,83.56,28.4,37.39,0,22.13,0,14.89,27.35,0,10.7,1.53,15.41,2.63,14.2,10.42,10.21,1.33,0.81,299.81,21.72,28.19,1.39,0.64,24.23,10.9,0.06,28.42,9.09,18.59
"24",1.93,3.16,1.2,3.34,1.75,1.65,1.48,1.6,2.38,1.62,0.61,2.17,3.16,1.52,3.53,1.91,2.53,1.3,2.45,0.86,1.51,1.6,0.91,0.62,1.41,1.22,2,0.61,2.73,2.51,2,1.33,1.96,1.26,1.48,1.52,1.47,1.24,1.36,27,52.83,4.4,5.11,5.58,3.05,0.92,5.71,2.94,11.64,9.67,1.76,13.46,0.01,19.66,5.19,1.12,19.9,6.1,75.33,4.37,85.8,15.12,59,0.02,16.76,0,10.37,13.97,0.52,4.39,0.82,21.43,5.96,27.07,10.27,5.67,7.69,6.96,364.27,14.59,25.2,0.98,2.9,10.37,24.12,3.83,106.29,9.47,4.69
"32",1.93,3.16,1.2,3.34,1.75,1.65,1.48,1.6,2.38,1.62,0.61,2.17,3.16,1.52,3.53,1.91,2.53,1.3,2.45,0.86,1.51,1.6,0.91,0.62,1.41,1.22,2,0.61,2.73,2.51,2,1.33,1.96,1.26,1.48,1.52,1.47,1.24,1.36,27,52.83,4.4,5.11,5.58,3.05,0.92,5.71,2.94,11.64,9.67,1.76,13.46,0.01,19.66,5.19,1.12,19.9,6.1,75.33,4.37,85.8,15.12,59,0.02,16.76,0,10.37,13.97,0.52,4.39,0.82,21.43,5.96,27.07,10.27,5.67,7.69,6.96,364.27,14.59,25.2,0.98,2.9,10.37,24.12,3.83,106.29,9.47,4.69
"39",1.93,3.16,1.2,3.34,1.75,1.65,1.48,1.6,2.38,1.62,0.61,2.17,3.16,1.52,3.53,1.91,2.53,1.3,2.45,0.86,1.51,1.6,0.91,0.62,1.41,1.22,2,0.61,2.73,2.51,2,1.33,1.96,1.26,1.48,1.52,1.47,1.24,1.36,27,52.83,4.4,5.11,5.58,3.05,0.92,5.71,2.94,11.64,9.67,1.76,13.46,0.01,19.66,5.19,1.12,19.9,6.1,75.33,4.37,85.8,15.12,59,0.02,16.76,0,10.37,13.97,0.52,4.39,0.82,21.43,5.96,27.07,10.27,5.67,7.69,6.96,364.27,14.59,25.2,0.98,2.9,10.37,24.12,3.83,106.29,9.47,4.69
"43",1.93,3.16,1.2,3.34,1.75,1.65,1.48,1.6,2.38,1.62,0.61,2.17,3.16,1.52,3.53,1.91,2.53,1.3,2.45,0.86,1.51,1.6,0.91,0.62,1.41,1.22,2,0.61,2.73,2.51,2,1.33,1.96,1.26,1.48,1.52,1.47,1.24,1.36,27,52.83,4.4,5.11,5.58,3.05,0.92,5.71,2.94,11.64,9.67,1.76,13.46,0.01,19.66,5.19,1.12,19.9,6.1,75.33,4.37,85.8,15.12,59,0.02,16.76,0,10.37,13.97,0.52,4.39,0.82,21.43,5.96,27.07,10.27,5.67,7.69,6.96,364.27,14.59,25.2,0.98,2.9,10.37,24.12,3.83,106.29,9.47,4.69
"259",1.21,1.11,1.02,2.23,1.2,2,2.07,1.96,1.27,1.96,1.16,1.14,2.81,2.16,2.04,2.81,1.15,2.16,2.03,1.12,2.43,1.96,1.12,1.57,1.97,2.06,1.13,1.13,2.13,1.16,1.13,1.88,2.17,1.15,2.89,2.07,1.89,2.04,3.05,40.14,16.27,0,2.03,2.39,2.03,3.35,2.2,4.42,12.64,4.32,0.98,12.26,0.01,19.87,2.91,0,6.92,8.84,51.18,3.67,30.34,22.99,16.46,0.39,31.02,0.01,13.48,21.37,0,3.86,2.33,11.74,4.25,11.52,7.33,6.74,2.91,0.1,168.41,31.53,25.06,0.12,0.56,14.63,125.2,0.12,46.21,3.88,14.4
"267",1.21,1.11,1.02,2.23,1.2,2,2.07,1.96,1.27,1.96,1.16,1.14,2.81,2.16,2.04,2.81,1.15,2.16,2.03,1.12,2.43,1.96,1.12,1.57,1.97,2.06,1.13,1.13,2.13,1.16,1.13,1.88,2.17,1.15,2.89,2.07,1.89,2.04,3.05,40.14,16.27,0,2.03,2.39,2.03,3.35,2.2,4.42,12.64,4.32,0.98,12.26,0.01,19.87,2.91,0,6.92,8.84,51.18,3.67,30.34,22.99,16.46,0.39,31.02,0.01,13.48,21.37,0,3.86,2.33,11.74,4.25,11.52,7.33,6.74,2.91,0.1,168.41,31.53,25.06,0.12,0.56,14.63,125.2,0.12,46.21,3.88,14.4
